Beras,Cabai Merah,Cabai Merah Keriting,Cabai Rawit,Cabai Rawit Hijau,Cabai Rawit Merah,Bawang Merah,Bawang Putih,Tanggal Lengkap
11750.0,53750.0,55000.0,97500.0,80000.0,115000.0,34500.0,29500.0,2021-03-24
11750.0,53750.0,55000.0,97500.0,80000.0,115000.0,34500.0,29500.0,2021-03-25
11750.0,53750.0,55000.0,97500.0,80000.0,115000.0,34500.0,29500.0,2021-03-26
11750.0,53750.0,55000.0,97500.0,80000.0,115000.0,34500.0,29500.0,2021-03-29
11750.0,53750.0,55000.0,97500.0,80000.0,115000.0,34500.0,29500.0,2021-03-30
11750.0,53750.0,55000.0,97500.0,80000.0,115000.0,34500.0,29500.0,2021-03-31
11750.0,53750.0,55000.0,97500.0,80000.0,115000.0,34500.0,29500.0,2021-04-01
11750.0,53750.0,55000.0,97500.0,80000.0,115000.0,34500.0,29500.0,2021-04-02
11750.0,53150.0,53750.0,80000.0,70000.0,90000.0,33750.0,29500.0,2021-04-05
11750.0,53150.0,53750.0,75000.0,70000.0,80000.0,33750.0,29500.0,2021-04-06
11750.0,53150.0,53750.0,75000.0,70000.0,80000.0,33750.0,29500.0,2021-04-07
11750.0,53150.0,53750.0,70000.0,60000.0,80000.0,33750.0,29500.0,2021-04-08
11750.0,53150.0,53750.0,70000.0,60000.0,80000.0,33750.0,29500.0,2021-04-09
11750.0,53750.0,52500.0,71250.0,62500.0,80000.0,34500.0,29500.0,2021-04-12
11750.0,53750.0,52500.0,71250.0,62500.0,80000.0,34500.0,29500.0,2021-04-13
11750.0,53750.0,52500.0,68750.0,62500.0,75000.0,34500.0,28500.0,2021-04-14
11750.0,53750.0,52500.0,68750.0,62500.0,75000.0,34500.0,28500.0,2021-04-15
11750.0,55000.0,55000.0,68750.0,62500.0,75000.0,34500.0,28500.0,2021-04-16
11750.0,52500.0,52500.0,67500.0,62500.0,72500.0,34500.0,28500.0,2021-04-19
11750.0,47500.0,47500.0,60000.0,55000.0,65000.0,34000.0,28500.0,2021-04-20
11750.0,47500.0,47500.0,60000.0,55000.0,65000.0,34000.0,28500.0,2021-04-21
11750.0,45650.0,45000.0,58750.0,55000.0,62500.0,34000.0,28500.0,2021-04-22
11750.0,45650.0,45000.0,58750.0,55000.0,62500.0,34000.0,28500.0,2021-04-23
11750.0,45650.0,45000.0,55650.0,53750.0,57500.0,34500.0,28500.0,2021-04-26
11750.0,45650.0,45000.0,55650.0,53750.0,57500.0,34500.0,28500.0,2021-04-27
11750.0,45650.0,45000.0,55650.0,53750.0,57500.0,34500.0,28500.0,2021-04-28
11750.0,45650.0,45000.0,55650.0,53750.0,57500.0,34500.0,28500.0,2021-04-29
11750.0,45650.0,45000.0,56900.0,53750.0,60000.0,34500.0,28500.0,2021-04-30
11750.0,43150.0,42500.0,58150.0,53750.0,62500.0,34000.0,28500.0,2021-05-03
11750.0,43150.0,42500.0,58150.0,53750.0,62500.0,34000.0,28500.0,2021-05-04
11750.0,43750.0,43750.0,58150.0,53750.0,62500.0,34500.0,28500.0,2021-05-05
11750.0,43750.0,43750.0,58150.0,53750.0,62500.0,34500.0,28500.0,2021-05-06
11750.0,45000.0,43750.0,58150.0,53750.0,62500.0,34500.0,28500.0,2021-05-07
11750.0,53750.0,47500.0,60650.0,53750.0,67500.0,34500.0,28500.0,2021-05-10
11750.0,53750.0,47500.0,60650.0,53750.0,67500.0,34500.0,28500.0,2021-05-11
